timestamp,protocol,src_ip,src_port,dst_ip,dst_port,prediction
2024-07-06 16:46:33.898397,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.898405,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.898406,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.898407,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.898408,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.898417,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.898460,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.898462,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.898463,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.898501,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.898623,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.900027,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.900033,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.900130,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.900133,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.900134,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.900135,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.900255,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.900258,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.900378,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.900381,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.900382,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.900582,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.900585,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.900586,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.900587,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.901434,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.901438,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.901439,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.901689,UDP,192.168.1.2,46296,142.250.187.195,443,1.0
2024-07-06 16:46:33.902097,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
2024-07-06 16:46:33.902399,UDP,142.250.187.195,443,192.168.1.2,46296,0.0
