src_ip,dst_ip,src_port,dst_port,protocol,signature,label,timestamp,removed_at
192.168.1.44,239.255.255.250,52004,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,58053,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,61096,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,59451,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,50890,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,54982,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,52004,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,58053,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,61096,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,59451,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,50890,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,54982,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.12,239.255.255.250,59472,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.12,239.255.255.250,59472,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.12,239.255.255.250,59472,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,60711,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,58160,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,63187,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,61680,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,62691,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,58045,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,60711,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,58160,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,63187,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,61680,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,62691,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,58045,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,60711,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,58160,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,63187,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,61680,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,62691,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,58045,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.12,239.255.255.250,47014,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.12,239.255.255.250,47014,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.12,239.255.255.250,47014,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,60240,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,51086,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,62412,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,55459,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.44,239.255.255.250,63568,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
192.168.1.25,239.255.255.250,59110,1900,UDP,INDICATOR-SCAN UPnP service discover attempt,0.0,2024-07-07 13:52:16,2024-07-07 13:52:16
